numero_station;code_site;nom_officiel;compte_regroupement;journal;format_piece;variantes_nom
18;AZ-18;RPS Agadez;41180018;;F18;
43;AZ-43;RPS Agadez Misrata;41180043;;F43;
45;AZ-45;RPS Arlit;41180045;;F45;
20;DI-20;RPS Diffa;41180020;;F20;
01;DO-01;RPS Gaya;41180001;;F01;
02;DO-02;RPS Dosso;41180002;CHDO02RPS;F02;
03;DO-03;RPS Gaya;41180003;CHDOG03RPS;F03;
05;DO-05;RPS Doutchi;41180005;;F05;RPS DOUTCH
35;DO-35;RPS Gaya 03;41180035;;F35;
36;DO-36;RPS Tandobon;41180036;CHDO36RPS;F36;RPS TONDOBON
04;MI-04;RPS Tessaoua;41180004;;F04;
12;MI-12;RPS Maradi;41180012;;F12;
40;MI-40;RPS Maradi-Tibiri;41180040;;F40;
46;MI-46;RPS Guidan Roumdji;41180046;;F46;
47;MI-47;RPS Mayahi;41180047;;F47;
08;NY-08;RPS Direction;41180008;;F08;
11;NY-11;RPS Yantala;41180011;;F11;
13;NY-13;RPS Koubia;41180013;;F13;
14;NY-14;RPS Sorey;41180014;;F14;RPS SOEY
15;NY-15;RPS Lazarey;41180015;;F15;
16;NY-16;RPS Cité Caisse;41180016;;F16;
17;NY-17;RPS Bceao;41180017;;F17;
21;NY-21;RPS Cité Progrès;41180021;;F21;
22;NY-22;RPS-Kossey;41180022;;F22;
23;NY-23;RPS Saga Gorou;41180023;;F23;
24;NY-24;RPS Route Rond Point Baré;41180024;;F24;
25;NY-25;RPS Marhaba;41180025;;F25;
26;NY-26;RPS Tourakou;41180026;;F26;
27;NY-27;RPS Dar Salam;41180027;;F27;
28;NY-28;RPS Bobiel;41180028;;F28;
29;NY-29;RPS Harobanda;41180029;CHNY29RPS;F29;
30;NY-30;RPS Chateau8;41180030;CHYN30RPS;F30;CHNY08RPS|RPS BOSSO|BOSSO
31;NY-31;RPS Rimbo;41180031;;F31;
32;NY-32;RPS Madina;41180032;;F32;
33;NY-33;RPS Les Arènes;41180033;;F33;
34;NY-34;RPS Bonkaney;41180034;;F34;
44;NY-44;RPS Saga;41180044;;F44;
06;TA-06;RPS Konni;41180006;;F06;
37;TA-37;RPS Konni 02;41180037;;F37;
38;TA-38;RPS Tahoua 01;41180038;CHTA38RPS;F38;
39;TA-39;RPS Tahoua 02;41180039;CHTA39RPS;F39;RPS Rte Aagdez|RPS RTE Agadez
48;TA-48;RPS Tchinta RT Algérie;41180048;;F48;
49;TA-49;RPS Tchinta RT Tahoua;41180049;;F49;
50;TA-50;RPS Abalak RT Agadez;41180050;;F50;
51;TA-51;RPS Abalak Préfecture;41180051;;F51;
07;TY-07;RPS Mossi Paga;41180007;;F07;
10;TY-10;RPS Bangaré;41180010;;F10;
19;TY-19;RPS Bouppo;41180019;;F19;
52;TY-52;RPS Hamdallaye;41180052;;F52;
53;TY-53;RPS Baléyara;41180053;;F53;
54;TY-54;RPS Ayorou;41180054;;F54;
09;ZR-09;RPS Zr-Rte Maradi;41180009;;F09;
41;ZR-41;RPS Zinder-Soraze;41180041;;F41;
42;ZR-42;RPS Zr-Hypodrome;41180042;;F42;
GR;;EX-DEPOT-RIMBO;;;FGRTS;GARAGE RIMBO
